customer_id,customer_name,city,state,signup_date
1,Brenda Alves,da Cruz de Goiás,RS,2022-06-19
2,Srta. Ísis Borges,Andrade do Sul,AM,2022-01-28
3,Igor Montenegro,Novais,AC,2022-12-20
4,Dra. Ísis Leão,Machado,SC,2023-08-24
5,Emanuel Sampaio,Fernandes Paulista,GO,2022-08-08
6,Lucca Caldeira,Garcia,ES,2022-02-06
7,Dr. João Aparecida,Nascimento de Campos,ES,2024-07-01
8,Yuri da Rocha,Oliveira do Oeste,BA,2021-11-14
9,Ian Vargas,Barros de Goiás,SC,2022-02-19
10,Lara Marques,Castro da Praia,AM,2024-04-19
11,João Felipe Sampaio,Pereira,RO,2022-09-25
12,Isabelly Castro,Garcia de da Mata,SC,2026-01-06
13,Luan Vargas,da Conceição,PI,2021-07-20
14,Dr. João Felipe Azevedo,Nunes,AP,2023-12-15
15,Theo Gonçalves,Casa Grande de da Luz,RJ,2022-06-19
16,Vitor Gabriel da Luz,Pacheco das Flores,PA,2024-05-10
17,Davi Miguel Moraes,Borges de Sá,AL,2021-09-05
18,Eduardo Pires,Vieira,AC,2024-11-13
19,Ana Luiza Gomes,Peixoto dos Dourados,AP,2025-10-11
20,Yuri Albuquerque,Rodrigues,DF,2025-11-05
21,Luigi Camargo,Lopes da Serra,ES,2025-02-19
22,João Montenegro,Montenegro,PE,2022-03-08
23,Letícia Porto,Cassiano,RN,2024-06-16
24,Vitor Hugo Vasconcelos,Peixoto,AC,2024-01-14
25,Allana Camargo,das Neves de Goiás,PI,2021-10-08
26,Bruno Barros,Azevedo de Teixeira,DF,2025-10-23
27,Davi Lucas Ribeiro,Novaes de Cavalcante,RR,2023-07-14
28,Mariana Cunha,Silva,RS,2023-12-06
29,Maria Fernanda Macedo,Campos de da Cruz,RR,2023-03-11
30,Lucca Almeida,Pastor,PI,2023-02-25
31,Brayan Santos,da Conceição,PA,2021-11-07
32,Lucas Barbosa,da Mota,ES,2025-05-29
33,Vitor Hugo Cardoso,da Cruz de Viana,PB,2025-04-20
34,Esther Brito,Ribeiro,RJ,2024-12-11
35,Dr. Noah Martins,Rocha,GO,2022-02-11
36,Nathan Siqueira,Caldeira de Goiás,SE,2022-11-28
37,Vitor Gabriel Machado,Lima,AC,2022-11-03
38,Ravi da Cruz,Macedo,SP,2025-12-16
39,Benicio Rezende,Borges,SE,2023-04-16
40,Nicolas Mendonça,Cunha de Guerra,CE,2021-10-11
41,Mateus Abreu,da Luz dos Dourados,RR,2023-09-15
42,Raquel Cassiano,da Rocha,PA,2023-02-17
43,Vitor Hugo Araújo,Araújo do Norte,MT,2026-03-31
44,Sarah Moura,Araújo,GO,2025-08-06
45,Francisco Azevedo,Rocha,BA,2023-04-12
46,Bárbara Nunes,Pacheco,DF,2021-08-13
47,Anna Liz Leão,da Luz do Oeste,SP,2023-12-14
48,João Gonçalves,Rios,MT,2023-10-31
49,Luara Sá,Albuquerque,AM,2025-03-05
50,Beatriz Barbosa,Montenegro,AP,2023-07-14
51,Luiz Fernando Azevedo,Freitas,MG,2023-09-14
52,Pedro Lucas Nogueira,Pimenta do Galho,AM,2021-05-06
53,Letícia Ribeiro,Carvalho,MS,2023-07-12
54,Cauê Souza,da Mata,MS,2023-09-04
55,Giovanna Silva,Costela Paulista,RN,2025-07-30
56,Isis Aragão,Porto,GO,2024-11-18
57,Augusto Abreu,Vargas Grande,SE,2023-07-04
58,Pedro Miguel Novaes,Novais do Sul,AL,2022-03-25
59,Dom Nogueira,Freitas,SC,2026-03-26
60,Clara Lopes,Aparecida,PB,2023-11-25
61,Sr. Luiz Henrique Costela,Rios,PI,2022-02-25
62,Dr. Eduardo da Costa,Cavalcanti,AM,2024-10-13
63,Felipe Sousa,Viana das Pedras,MG,2023-05-23
64,Emanuel Viana,Garcia,AP,2021-08-10
65,Hellena Costa,Ferreira de das Neves,PI,2023-03-20
66,Apollo Ribeiro,Guerra,MA,2024-01-26
67,Bernardo Vargas,Ferreira do Galho,TO,2024-09-04
68,Zoe Farias,Camargo,RS,2023-07-02
69,João Andrade,Peixoto,RN,2024-12-22
70,Dr. Pedro Henrique Pereira,Gomes,MS,2026-03-08
71,José Miguel Aparecida,Abreu do Galho,RJ,2025-11-09
72,Fernanda Fonseca,Azevedo Alegre,DF,2023-12-13
73,Camila Silveira,Montenegro da Mata,RR,2024-10-01
74,Dr. Juan Novaes,Correia,AP,2024-11-08
75,Maria Helena Rocha,Pimenta,AL,2026-02-13
76,Nathan Novaes,da Rosa,RO,2023-09-20
77,Pedro Viana,Martins dos Dourados,ES,2025-01-14
78,Hadassa Moraes,Vieira de Vieira,SP,2022-09-21
79,Antonella da Paz,Borges de Goiás,MA,2023-12-02
80,Gael Henrique Casa Grande,Aparecida,AP,2023-05-12
81,Ana Sophia Marques,Pires Verde,ES,2022-12-07
82,Dra. Maria Isis Monteiro,da Cruz Grande,AM,2021-04-29
83,Otávio Câmara,Sampaio,MG,2025-09-07
84,Ana Julia Novais,Campos,GO,2025-02-28
85,Ravi Rios,Sá dos Dourados,PB,2025-07-28
86,Melissa Castro,Machado de da Luz,RS,2023-05-20
87,Kamilly Vargas,Pires de da Costa,TO,2023-08-13
88,Ana Vitória Silva,da Costa Paulista,MS,2024-02-19
89,Sr. Davi Miguel Cassiano,Gomes,CE,2022-07-30
90,Srta. Ana Luiza Leão,Farias da Prata,MS,2025-03-29
91,Ana Liz Costela,Gomes Verde,MS,2021-06-11
92,Maria Helena Mendes,Fogaça,DF,2023-10-26
93,Mariah Nascimento,Mendonça,RO,2023-02-22
94,Pedro Henrique Mendonça,Gomes,GO,2024-02-20
